x,y
662920.21,1522284.326
662522.939,1521855.415
662586.859,1521188.303
662059.488,1521039.509
662319.752,1520467.159
661209.113,1521202.633
661376.315,1520165.163
662135.952,1520555.587
662128.652,1519798.711
662411.388,1522448.02
662324.254,1522243.929
662785.535,1520318.504
663255.644,1521165.231
663261.253,1519995.947
663052.795,1520475.987
662578.718,1519773.558
663360.956,1519152.759
663214.011,1519301.692
664866.181,1524991.588
663848.519,1523997.88
662651.053,1523967.166
662339.572,1523129.003
663933.344,1521679.368
663540.886,1522395.871
664556.389,1523504.084
663801.638,1525129.374
665716.515,1526000.671
667365.373,1525736.453
672234.428,1521702.383
669933.205,1520537.385
671202.588,1523491.994
667777.308,1520476.482
664549.554,1520855.39
666874.519,1521832.694
665019.937,1520769.95
668135.046,1522608.489
669676.302,1523712.434
668256.571,1522621.824
672340.133,1523034.571
674330.869,1524064.813
672959.883,1524434.414
665282.935,1518600.798
663830.207,1517964.208
664036.7,1518624.082
663908.016,1517494.692
664297.448,1518580.151
664359.903,1520788.139
664175.378,1520335.001
667080.659,1518739.719
664288.151,1519717.019
667594.87,1518237.731
664708.014,1520380.574
666086.055,1520231.202
665038.142,1513201.831
667177.595,1515570.961
667043.505,1514382.323
665834.464,1512096.416
666970.037,1512645.629
667490.556,1512957.342
672548.562,1514723.926
675436.64,1515414.522
673446.811,1513279.15
674692.068,1513895.738
664033.363,1516588.25
663586.149,1517019.122
664748.202,1515207.836
662657.472,1515711.099
661903.476,1515136.616
664183.85,1513983.234
662385.775,1513959.812
663520.982,1513653.785
662633.813,1514533.917
671777.823,1515566.872
668774.444,1516211.858
669733.506,1516540.963
670274.974,1516323.78
673433.436,1516573.054
674413.443,1518617.14
674430.693,1518530.977
677261.142,1516955.795
677705.708,1519317.065
677378.925,1518820.916
675450.876,1516467.921
674413.443,1518617.14
671569.162,1517285.665
672683.563,1516822.394
672595.702,1518205.928
671777.65,1519726.982
671670.327,1519445.201
669351.31,1519499.809
672319.015,1519563.261
670858.244,1519880.305
673501.19,1511933.606
671741.875,1512483.798
676297.444,1510874.799
674295.922,1512588.085
675117.442,1512398.05
677787.593,1511584.106
672826.403,1511188.006
677306.947,1533331.353
678918.762,1535168.737
672572.988,1534261.748
674893.611,1531724.421
672706.436,1534740.503
